Ticker, Quantity, Price, Date, Transaction Type
PTON, 1, 29.49, 2020-01-03, BOUGHT
AAPL, 1, 72.4686, 2020-01-03, BOUGHT
DIS, 1, 146.4, 2020-01-03, BOUGHT
TSLA, 1, 29.3667, 2020-01-03, BOUGHT
CROX, 1, 41.97, 2020-01-06, BOUGHT
NKE, 1, 97.269, 2020-01-06, BOUGHT
GOOGL, 1, 67.5815, 2020-01-06, BOUGHT
SPOT, 1, 151.49, 2020-01-06, BOUGHT
AAPL, 1, 71.6492, 2020-01-06, SOLD
ADDYY, 1, 158.738, 2020-01-07, BOUGHT
AMZN, 1, 95.225, 2020-01-07, BOUGHT
AAPL, 1, 73.1246, 2020-01-07, BOUGHT
ZM, 1, 70.29, 2020-01-07, BOUGHT
PTON, 1, 29.44, 2020-01-07, SOLD
TGT, 1, 114.957, 2020-01-08, BOUGHT
DAL, 1, 57.2334, 2020-01-08, BOUGHT
COST, 1, 275.612, 2020-01-08, BOUGHT
LUV, 1, 52.3365, 2020-01-08, BOUGHT
CROX, 1, 41.64, 2020-01-08, SOLD
AMZN, 1, 94.902, 2020-01-08, SOLD
AAPL, 1, 72.4711, 2020-01-08, SOLD
NKE, 1, 97.6159, 2020-01-08, SOLD
GOOGL, 1, 69.741, 2020-01-08, SOLD
SPOT, 1, 156.33, 2020-01-08, SOLD
DIS, 1, 145.49, 2020-01-08, SOLD
AEO, 1, 13.3595, 2020-01-09, BOUGHT
SBUX, 1, 83.6801, 2020-01-09, BOUGHT
NVDA, 1, 60.7306, 2020-01-09, BOUGHT
CRM, 1, 178.84, 2020-01-09, BOUGHT
AEO, 1, 13.3595, 2020-01-09, SOLD
CL, 1, 63.7958, 2020-01-10, BOUGHT
CMG, 1, 866, 2020-01-10, BOUGHT
PINS, 1, 19.65, 2020-01-10, BOUGHT
LOGI, 1, 45.6259, 2020-01-10, BOUGHT
ZM, 1, 73.08, 2020-01-10, SOLD
DAL, 1, 58.72, 2020-01-10, SOLD
LUV, 1, 52.9897, 2020-01-10, SOLD
TSLA, 1, 32.1193, 2020-01-10, SOLD
PTON, 1, 28.3, 2020-01-13, BOUGHT
HSY, 1, 137.858, 2020-01-13, BOUGHT
SHOP, 1, 43.499, 2020-01-13, BOUGHT
AMD, 1, 48.66, 2020-01-13, BOUGHT
ADDYY, 1, 166.101, 2020-01-13, SOLD
TGT, 1, 115.457, 2020-01-13, SOLD
COST, 1, 281.229, 2020-01-13, SOLD
SBUX, 1, 84.0232, 2020-01-13, SOLD
CMG, 1, 856.13, 2020-01-13, SOLD
LOGI, 1, 45.5111, 2020-01-13, SOLD
NKE, 1, 98.7143, 2020-01-14, BOUGHT
HMC, 1, 25.8515, 2020-01-14, BOUGHT
AXP, 1, 122.434, 2020-01-14, BOUGHT
MA, 1, 310.101, 2020-01-14, BOUGHT
CL, 1, 64.1709, 2020-01-14, SOLD
AMD, 1, 48.64, 2020-01-14, SOLD
DIS, 1, 145.71, 2020-01-15, BOUGHT
MCD, 1, 190.265, 2020-01-15, BOUGHT
ADBE, 1, 346.42, 2020-01-15, BOUGHT
HD, 1, 203.231, 2020-01-15, BOUGHT
NVDA, 1, 61.7118, 2020-01-15, SOLD
CRM, 1, 181.68, 2020-01-15, SOLD
HSY, 1, 138.267, 2020-01-15, SOLD
SHOP, 1, 44.192, 2020-01-15, SOLD
MA, 1, 306.188, 2020-01-15, SOLD
AMZN, 1, 94.1495, 2020-01-16, BOUGHT
SPOT, 1, 153.35, 2020-01-16, BOUGHT
CSCO, 1, 43.3722, 2020-01-16, BOUGHT
MAR, 1, 145.324, 2020-01-16, BOUGHT
NKE, 1, 99.1286, 2020-01-16, SOLD
PINS, 1, 22.24, 2020-01-16, SOLD
ADBE, 1, 345.98, 2020-01-16, SOLD
HMC, 1, 25.6666, 2020-01-17, BOUGHT
UL, 1, 50.2628, 2020-01-17, BOUGHT
JPM, 1, 123.562, 2020-01-17, BOUGHT
TM, 1, 139.68, 2020-01-17, BOUGHT
PTON, 1, 31, 2020-01-17, SOLD
TGT, 1, 108.108, 2020-01-21, BOUGHT
LOGI, 1, 45.6259, 2020-01-21, BOUGHT
HLT, 1, 111.591, 2020-01-21, BOUGHT
JNJ, 1, 134.499, 2020-01-21, BOUGHT
AXP, 1, 124.804, 2020-01-21, SOLD
MCD, 1, 193.982, 2020-01-21, SOLD
CSCO, 1, 43.8921, 2020-01-21, SOLD
CROX, 1, 41.98, 2020-01-22, BOUGHT
ADDYY, 1, 168.816, 2020-01-22, BOUGHT
AMZN, 1, 94.8045, 2020-01-22, BOUGHT
SPOT, 1, 150, 2020-01-22, BOUGHT
CRM, 1, 183.21, 2020-01-23, BOUGHT
UBER, 1, 36.97, 2020-01-23, BOUGHT
PG, 1, 113.987, 2020-01-23, BOUGHT
FDX, 1, 146.317, 2020-01-23, BOUGHT
AMZN, 2, 94.2555, 2020-01-23, SOLD
UL, 1, 50.2804, 2020-01-23, SOLD
HLT, 1, 108.317, 2020-01-23, SOLD
JNJ, 1, 134.011, 2020-01-23, SOLD
TGT, 1, 107.497, 2020-01-24, BOUGHT
DAL, 1, 59.5624, 2020-01-24, BOUGHT
LUV, 1, 54.2182, 2020-01-24, BOUGHT
JPM, 1, 122.511, 2020-01-24, BOUGHT
MMM, 1, 154.433, 2020-01-27, BOUGHT
KO, 1, 51.2982, 2020-01-27, BOUGHT
MSFT, 1, 155.605, 2020-01-27, BOUGHT
V, 1, 194.949, 2020-01-27, BOUGHT
LUV, 1, 53.8477, 2020-01-27, SOLD
CRM, 1, 178.77, 2020-01-27, SOLD
LOGI, 1, 44.7358, 2020-01-27, SOLD
TM, 1, 141.44, 2020-01-27, SOLD
HD, 1, 208.643, 2020-01-27, SOLD
UBER, 1, 35.23, 2020-01-27, SOLD
FDX, 1, 141.701, 2020-01-27, SOLD
PTON, 1, 31.56, 2020-01-28, BOUGHT
CROX, 1, 40.88, 2020-01-28, BOUGHT
AMZN, 1, 92.025, 2020-01-28, BOUGHT
AAPL, 1, 76.2365, 2020-01-28, BOUGHT
MMM, 1, 147.598, 2020-01-28, SOLD
